SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-18-2019,Single Family Residential,3030 Balmoral Dr,SAN JOSE,CA,95132,1265000,5,2.0,SAN JOSE,1723,6789,1973,262,734,,Sold,,,http://www.redfin.com/CA/San-Jose/3030-Balmoral-Dr-95132/home/1704635,MLSListings,ML81755727,N,Y,37.4058274,-121.8653116
PAST SALE,July-31-2019,Single Family Residential,1468 Japaul Ln,SAN JOSE,CA,95132,1050000,3,2.0,SAN JOSE,1277,6154,1969,249,822,,Sold,,,http://www.redfin.com/CA/San-Jose/1468-Japaul-Ln-95132/home/1744021,MLSListings,ML81757556,N,Y,37.4056348,-121.8546821
PAST SALE,August-28-2019,Single Family Residential,2880 Bellini Ct,SAN JOSE,CA,95132,1000000,4,2.0,SAN JOSE,1132,6153,1970,221,883,,Sold,,,http://www.redfin.com/CA/San-Jose/2880-Bellini-Ct-95132/home/1713053,MLSListings,ML81760741,N,Y,37.3982793,-121.8597969
PAST SALE,September-5-2019,Single Family Residential,3275 Sagewood Ln,SAN JOSE,CA,95132,1140000,4,2.0,SAN JOSE,1397,6002,1967,213,816,,Sold,,,http://www.redfin.com/CA/San-Jose/3275-Sagewood-Ln-95132/home/1465162,MLSListings,ML81761891,N,Y,37.4140895,-121.8653116
PAST SALE,October-18-2019,Single Family Residential,3196 Shriver Dr,SAN JOSE,CA,95132,1580000,6,4.5,SAN JOSE,3384,8290,1972,170,467,,Sold,,,http://www.redfin.com/CA/San-Jose/3196-Shriver-Dr-95132/home/805470,MLSListings,ML81766517,N,Y,37.3950208,-121.8489889
PAST SALE,November-25-2019,Single Family Residential,2822 Monte Cresta Way,SAN JOSE,CA,95132,1040000,3,2.5,SAN JOSE,1938,9362,1965,132,537,,Sold,,,http://www.redfin.com/CA/San-Jose/2822-Monte-Cresta-Way-95132/home/938301,MLSListings,ML81759342,N,Y,37.3976796,-121.8651782
PAST SALE,December-6-2019,Single Family Residential,3231 Cropley Ave,SAN JOSE,CA,95132,1050000,3,2.5,SAN JOSE,1629,6107,1969,121,645,,Sold,,,http://www.redfin.com/CA/San-Jose/3231-Cropley-Ave-95132/home/1588116,MLSListings,ML81771777,N,Y,37.4121466,-121.8647779
PAST SALE,December-19-2019,Single Family Residential,3127 Drywood Ln,SAN JOSE,CA,95132,900000,3,2.0,SAN JOSE,1165,5805,1964,108,773,,Sold,,,http://www.redfin.com/CA/San-Jose/3127-Drywood-Ln-95132/home/1221544,MLSListings,ML81771551,N,Y,37.4159045,-121.8734053
PAST SALE,February-21-2020,Condo/Co-op,3559 Ivalynn Ct,SAN JOSE,CA,95132,486000,1,1.0,SAN JOSE,709,,1986,44,685,340,Sold,,,http://www.redfin.com/CA/San-Jose/3559-Ivalynn-Ct-95132/home/1553397,MLSListings,ML81779169,N,Y,37.401772,-121.845787
PAST SALE,March-18-2020,Single Family Residential,1501 Japaul Ln,SAN JOSE,CA,95132,1170000,3,2.0,SAN JOSE,1283,6731,1971,18,912,,Sold,,,http://www.redfin.com/CA/San-Jose/1501-Japaul-Ln-95132/home/935306,MLSListings,ML81782994,Y,Y,37.4070302,-121.8564167
